I;11050;54.0 deg;30.0 uSH;Bxo;2.0 deg;3;Beta;19;52;2010-02-27
I;11051;321.0 deg;40.0 uSH;Cso;2.0 deg;3;Beta;15;41;2010-02-27
IA;11048;97.0 deg;0.0 uSH;--;0.0 deg;--;--;20;93;2010-02-27
II;11045;251.0 deg;0.0 uSH;--;0.0 deg;--;--;19;0;2010-02-27
I;11050;53.0 deg;0.0 uSH;Axx;0.0 deg;2;Alpha;18;64;2010-02-28
I;11051;322.0 deg;30.0 uSH;Cao;6.0 deg;4;Beta;15;27;2010-02-28
II;11045;0.0 deg;0.0 uSH;--;0.0 deg;--;--;19;0;2010-02-28
I;11051;324.0 deg;10.0 uSH;Hsx;1.0 deg;3;Alpha;15;12;2010-03-01
IA;11050;53.0 deg;0.0 uSH;--;0.0 deg;--;--;18;77;2010-03-01
II;11045;242.0 deg;0.0 uSH;--;0.0 deg;--;--;24;0;2010-03-01
I;11051;323.0 deg;10.0 uSH;Hsx;1.0 deg;1;Alpha;16;1;2010-03-02
I;11052;348.0 deg;20.0 uSH;Bxo;4.0 deg;3;Beta;18;26;2010-03-02
I;11053;360.0 deg;20.0 uSH;Bxo;4.0 deg;2;Beta;22;38;2010-03-02
I;11051;323.0 deg;10.0 uSH;Hsx;1.0 deg;1;Alpha;16;14;2010-03-03
I;11052;350.0 deg;20.0 uSH;Cso;5.0 deg;4;Beta;18;41;2010-03-03
I;11053;360.0 deg;30.0 uSH;Cso;5.0 deg;4;Beta;23;51;2010-03-03
II;11046;179.0 deg;0.0 uSH;--;0.0 deg;--;--;22;0;2010-03-03
I;11051;324.0 deg;10.0 uSH;Axx;2.0 deg;2;Alpha;15;28;2010-03-04
I;11052;352.0 deg;10.0 uSH;Bxo;3.0 deg;3;Beta;17;56;2010-03-04
I;11053;358.0 deg;10.0 uSH;Bxo;4.0 deg;4;Beta;22;62;2010-03-04
II;11046;179.0 deg;0.0 uSH;--;0.0 deg;--;--;22;0;2010-03-04
I;11051;324.0 deg;10.0 uSH;Axx;1.0 deg;1;Alpha;16;41;2010-03-05
I;11052;353.0 deg;40.0 uSH;Cro;7.0 deg;5;Beta;17;70;2010-03-05
I;11053;360.0 deg;40.0 uSH;Cro;8.0 deg;4;Beta;22;77;2010-03-05
II;11046;179.0 deg;0.0 uSH;--;0.0 deg;--;--;22;0;2010-03-05
I;11051;323.0 deg;10.0 uSH;Axx;1.0 deg;1;Alpha;16;53;2010-03-06
I;11052;352.0 deg;10.0 uSH;Bxo;8.0 deg;3;Beta;16;82;2010-03-06
I;11053;359.0 deg;10.0 uSH;Axx;1.0 deg;1;Alpha;22;89;2010-03-06
II;11046;179.0 deg;0.0 uSH;--;0.0 deg;--;--;22;0;2010-03-06
IA;11051;323.0 deg;0.0 uSH;--;0.0 deg;--;--;16;66;2010-03-07
IA;11052;352.0 deg;0.0 uSH;--;0.0 deg;--;--;16;95;2010-03-07
IA;11051;323.0 deg;0.0 uSH;--;0.0 deg;--;--;16;79;2010-03-08
II;11049;122.0 deg;0.0 uSH;--;0.0 deg;--;--;18;0;2010-03-08
IA;11051;323.0 deg;0.0 uSH;--;0.0 deg;--;--;16;92;2010-03-09
II;11049;122.0 deg;0.0 uSH;--;0.0 deg;--;--;18;0;2010-03-09
II;11049;122.0 deg;0.0 uSH;--;0.0 deg;--;--;18;0;2010-03-10
I;11054;148.0 deg;10.0 uSH;Bxo;3.0 deg;2;Beta;12;56;2010-03-11
I;11054;148.0 deg;110.0 uSH;Dso;6.0 deg;7;Beta;15;43;2010-03-12
I;11055;206.0 deg;30.0 uSH;Cso;3.0 deg;4;Beta;23;15;2010-03-12
I;11054;148.0 deg;190.0 uSH;Dao;7.0 deg;12;Beta;15;29;2010-03-13
I;11055;204.0 deg;30.0 uSH;Cso;3.0 deg;4;Beta;24;27;2010-03-13
II;11050;53.0 deg;0.0 uSH;--;0.0 deg;--;--;18;0;2010-03-13
I;11054;149.0 deg;230.0 uSH;Esc;11.0 deg;22;Beta-Gamma;15;15;2010-03-14
IA;11055;204.0 deg;0.0 uSH;--;0.0 deg;--;--;24;40;2010-03-14
II;11050;53.0 deg;0.0 uSH;--;0.0 deg;--;--;18;0;2010-03-14
I;11054;149.0 deg;230.0 uSH;Esi;13.0 deg;20;Beta-Gamma;14;1;2010-03-15
IA;11055;204.0 deg;0.0 uSH;--;0.0 deg;--;--;24;53;2010-03-15
II;11050;53.0 deg;0.0 uSH;--;0.0 deg;--;--;18;0;2010-03-15
I;11054;151.0 deg;240.0 uSH;Eai;14.0 deg;18;Beta-Gamma;14;14;2010-03-16
IA;11055;204.0 deg;0.0 uSH;--;0.0 deg;--;--;24;66;2010-03-16
I;11054;149.0 deg;90.0 uSH;Dai;9.0 deg;11;Beta;15;25;2010-03-17
IA;11055;204.0 deg;0.0 uSH;--;0.0 deg;--;--;24;79;2010-03-17
II;11053;358.0 deg;0.0 uSH;--;0.0 deg;--;--;22;0;2010-03-17
I;11054;148.0 deg;70.0 uSH;Cai;7.0 deg;4;Beta;15;37;2010-03-18
I;11056;64.0 deg;20.0 uSH;Bxo;5.0 deg;4;Beta;17;47;2010-03-18
IA;11055;204.0 deg;0.0 uSH;--;0.0 deg;--;--;24;92;2010-03-18
II;11052;352.0 deg;0.0 uSH;--;0.0 deg;--;--;17;0;2010-03-18
II;11053;359.0 deg;0.0 uSH;--;0.0 deg;--;--;22;0;2010-03-18
I;11054;153.0 deg;40.0 uSH;Bxo;5.0 deg;3;Beta;16;55;2010-03-19
I;11056;64.0 deg;50.0 uSH;Bxo;6.0 deg;5;Beta;18;34;2010-03-19
II;11052;352.0 deg;0.0 uSH;--;0.0 deg;--;--;17;0;2010-03-19
II;11053;359.0 deg;0.0 uSH;--;0.0 deg;--;--;22;0;2010-03-19
I;11054;156.0 deg;10.0 uSH;Hsx;1.0 deg;1;Alpha;16;71;2010-03-20
I;11056;63.0 deg;10.0 uSH;Bxo;2.0 deg;3;Beta;18;22;2010-03-20
II;11052;352.0 deg;0.0 uSH;--;0.0 deg;--;--;17;0;2010-03-20
I;11054;154.0 deg;10.0 uSH;Axx;1.0 deg;1;Alpha;16;82;2010-03-21
I;11056;65.0 deg;30.0 uSH;Bxo;4.0 deg;4;Beta;18;7;2010-03-21
I;11056;65.0 deg;70.0 uSH;Csi;7.0 deg;15;Beta;18;6;2010-03-22
IA;11054;154.0 deg;0.0 uSH;--;0.0 deg;--;--;16;95;2010-03-22
I;11056;67.0 deg;50.0 uSH;Bxo;8.0 deg;7;Beta;19;21;2010-03-23
I;11056;66.0 deg;5.0 uSH;Bxo;7.0 deg;3;Beta;18;34;2010-03-24
I;11057;319.0 deg;5.0 uSH;Bxo;7.0 deg;3;Beta;16;73;2010-03-24
I;11057;322.0 deg;240.0 uSH;Dac;6.0 deg;5;Beta-Gamma;16;57;2010-03-25
IA;11056;69.0 deg;0.0 uSH;--;0.0 deg;--;--;17;50;2010-03-25
I;11057;321.0 deg;400.0 uSH;Dhc;7.0 deg;4;Beta;15;45;2010-03-26
I;11058;12.0 deg;1.0 uSH;Axx;1.0 deg;1;Alpha;27;6;2010-03-26
IA;11056;69.0 deg;0.0 uSH;--;0.0 deg;--;--;17;63;2010-03-26
I;11057;323.0 deg;320.0 uSH;Dki;8.0 deg;6;Beta;15;30;2010-03-27
I;11058;14.0 deg;5.0 uSH;Axx;1.0 deg;1;Alpha;25;21;2010-03-27
IA;11056;69.0 deg;0.0 uSH;--;0.0 deg;--;--;17;76;2010-03-27
I;11057;324.0 deg;380.0 uSH;Dhi;8.0 deg;9;Beta;15;16;2010-03-28
I;11059;267.0 deg;120.0 uSH;Hsx;2.0 deg;1;Alpha;21;73;2010-03-28
IA;11056;69.0 deg;0.0 uSH;--;0.0 deg;--;--;17;89;2010-03-28
IA;11058;267.0 deg;0.0 uSH;--;0.0 deg;--;--;21;73;2010-03-28
I;11057;322.0 deg;410.0 uSH;Eki;11.0 deg;12;Beta;15;4;2010-03-29
I;11059;265.0 deg;100.0 uSH;Hax;2.0 deg;1;Alpha;22;61;2010-03-29
IA;11058;14.0 deg;0.0 uSH;--;0.0 deg;--;--;25;47;2010-03-29
I;11057;324.0 deg;290.0 uSH;Dki;10.0 deg;11;Beta;15;10;2010-03-30
I;11059;265.0 deg;150.0 uSH;Hsx;2.0 deg;1;Alpha;23;48;2010-03-30
IA;11058;14.0 deg;0.0 uSH;--;0.0 deg;--;--;25;60;2010-03-30
I;11057;322.0 deg;260.0 uSH;Dhi;10.0 deg;10;Beta;15;22;2010-03-31
I;11059;264.0 deg;130.0 uSH;Hax;2.0 deg;2;Alpha;23;36;2010-03-31
IA;11058;14.0 deg;0.0 uSH;--;0.0 deg;--;--;25;73;2010-03-31
I;11057;322.0 deg;250.0 uSH;Cko;9.0 deg;2;Beta;16;35;2010-04-01
I;11059;264.0 deg;70.0 uSH;Hax;2.0 deg;1;Alpha;22;23;2010-04-01
IA;11058;14.0 deg;0.0 uSH;--;0.0 deg;--;--;25;86;2010-04-01
I;11057;320.0 deg;190.0 uSH;Cao;2.0 deg;3;Beta;15;45;2010-04-02
I;11059;264.0 deg;50.0 uSH;Hsx;2.0 deg;2;Alpha;22;10;2010-04-02
II;11054;153.0 deg;0.0 uSH;--;0.0 deg;--;--;16;0;2010-04-02
I;11057;320.0 deg;250.0 uSH;Hhx;4.0 deg;4;Alpha;16;59;2010-04-03
I;11059;264.0 deg;40.0 uSH;Cso;2.0 deg;4;Beta;23;3;2010-04-03
II;11054;153.0 deg;0.0 uSH;--;0.0 deg;--;--;16;0;2010-04-03
I;11057;319.0 deg;200.0 uSH;Hsx;3.0 deg;3;Alpha;16;72;2010-04-04
I;11059;262.0 deg;50.0 uSH;Hsx;4.0 deg;4;Alpha;22;15;2010-04-04
II;11054;153.0 deg;0.0 uSH;--;0.0 deg;--;--;16;0;2010-04-04
I;11057;318.0 deg;90.0 uSH;Hsx;5.0 deg;3;Alpha;16;84;2010-04-05
I;11059;262.0 deg;30.0 uSH;Hsx;3.0 deg;3;Alpha;23;28;2010-04-05
I;11060;176.0 deg;90.0 uSH;Dro;4.0 deg;4;Beta;24;58;2010-04-05
I;11059;261.0 deg;30.0 uSH;Hax;3.0 deg;3;Alpha;25;40;2010-04-06
I;11060;176.0 deg;60.0 uSH;Cro;5.0 deg;4;Beta;25;45;2010-04-06
I;11061;232.0 deg;50.0 uSH;Dso;4.0 deg;4;Beta;14;11;2010-04-06
I;11059;259.0 deg;10.0 uSH;Axx;2.0 deg;2;Alpha;25;51;2010-04-07
I;11060;176.0 deg;30.0 uSH;Cro;7.0 deg;3;Beta;26;32;2010-04-07
I;11061;232.0 deg;110.0 uSH;Dso;6.0 deg;6;Beta;14;24;2010-04-07
I;11060;181.0 deg;10.0 uSH;Axx;1.0 deg;1;Alpha;24;14;2010-04-08
I;11061;234.0 deg;70.0 uSH;Dso;7.0 deg;4;Beta;13;39;2010-04-08
IA;11059;259.0 deg;0.0 uSH;--;0.0 deg;--;--;25;64;2010-04-08
I;11060;181.0 deg;0.0 uSH;Axx;1.0 deg;1;Alpha;25;0;2010-04-09
I;11061;233.0 deg;50.0 uSH;Cso;5.0 deg;2;Beta;14;52;2010-04-09
IA;11059;259.0 deg;0.0 uSH;--;0.0 deg;--;--;25;77;2010-04-09
I;11061;237.0 deg;40.0 uSH;Hsx;1.0 deg;1;Alpha;13;69;2010-04-10
IA;11059;259.0 deg;0.0 uSH;--;0.0 deg;--;--;25;90;2010-04-10
IA;11060;181.0 deg;0.0 uSH;--;0.0 deg;--;--;25;13;2010-04-10
I;11061;238.0 deg;10.0 uSH;Axx;1.0 deg;1;Alpha;13;83;2010-04-11
IA;11060;181.0 deg;0.0 uSH;--;0.0 deg;--;--;25;26;2010-04-11
IA;11060;181.0 deg;0.0 uSH;--;0.0 deg;--;--;25;39;2010-04-12
I;11062;134.0 deg;10.0 uSH;Bxo;3.0 deg;4;Beta;18;5;2010-04-13
IA;11060;181.0 deg;0.0 uSH;--;0.0 deg;--;--;25;52;2010-04-13
I;11062;135.0 deg;20.0 uSH;Cro;4.0 deg;4;Beta;18;20;2010-04-14
IA;11060;181.0 deg;0.0 uSH;--;0.0 deg;--;--;25;65;2010-04-14
I;11062;136.0 deg;10.0 uSH;Bxo;2.0 deg;2;Beta;18;34;2010-04-15
IA;11060;181.0 deg;0.0 uSH;--;0.0 deg;--;--;25;78;2010-04-15
IA;11062;136.0 deg;0.0 uSH;--;0.0 deg;--;--;18;47;2010-04-16
II;11057;320.0 deg;0.0 uSH;--;0.0 deg;--;--;16;0;2010-04-16
IA;11062;136.0 deg;0.0 uSH;--;0.0 deg;--;--;18;60;2010-04-17
II;11057;320.0 deg;0.0 uSH;--;0.0 deg;--;--;16;0;2010-04-17
IA;11062;136.0 deg;0.0 uSH;--;0.0 deg;--;--;18;73;2010-04-18
II;11057;320.0 deg;0.0 uSH;--;0.0 deg;--;--;16;0;2010-04-18
IA;11062;136.0 deg;0.0 uSH;--;0.0 deg;--;--;18;86;2010-04-19
II;11057;320.0 deg;0.0 uSH;--;0.0 deg;--;--;16;0;2010-04-19
II;11061;237.0 deg;0.0 uSH;--;0.0 deg;--;--;13;0;2010-04-23
II;11061;237.0 deg;0.0 uSH;--;0.0 deg;--;--;13;0;2010-04-24
II;11061;237.0 deg;0.0 uSH;--;0.0 deg;--;--;13;0;2010-04-25
I;11063;264.0 deg;10.0 uSH;Bxo;2.0 deg;2;Beta;16;14;2010-04-29
IA;11063;264.0 deg;0.0 uSH;--;0.0 deg;--;--;16;1;2010-04-30
I;11064;223.0 deg;20.0 uSH;Bxo;2.0 deg;2;Beta;15;28;2010-05-01
